"GroupID","Param","Value","GroupLevel"
"0X2323","Country","Japan","Site"
"0X2323","site_active_dt","2012-01-01","Site"
"0X4264","studyid","AA-AA-000-0000","Site"
"0X4264","invid","0X4264","Site"
"0X4264","InvestigatorFirstName","Fred","Site"
"0X4264","InvestigatorLastName","Deer","Site"
"0X4264","site_status","Active","Site"
"0X4264","City","Newtown Square","Site"
"0X4264","State","PA","Site"
"0X4264","Country","US","Site"
"0X4264","site_active_dt","2012-01-01","Site"
"0X1982","studyid","AA-AA-000-0000","Site"
"0X1982","invid","0X1982","Site"
"0X1982","InvestigatorFirstName","Fred","Site"
"0X1982","InvestigatorLastName","Smith","Site"
"0X1982","site_status","Active","Site"
"0X1982","City","Newtown Square","Site"
"0X1982","State","PA","Site"
"0X1982","Country","US","Site"
"0X1982","site_active_dt","2012-01-01","Site"
"0X8764","studyid","AA-AA-000-0000","Site"
"0X8764","invid","0X8764","Site"
"0X8764","InvestigatorFirstName","John","Site"
"0X8764","InvestigatorLastName","Smith","Site"
"0X8764","site_status","Active","Site"
"0X8764","City","Tokyo","Site"
"0X8764","State","Kanto","Site"
"0X8764","Country","Japan","Site"
"0X8764","site_active_dt","2012-01-01","Site"
"0X4959","studyid","AA-AA-000-0000","Site"
"0X4959","invid","0X4959","Site"
"0X4959","InvestigatorFirstName","Fred","Site"
"0X4959","InvestigatorLastName","Doe","Site"
"0X4959","site_status","Active","Site"
"0X4959","City","Newtown Square","Site"
"0X4959","State","PA","Site"
"0X4959","Country","US","Site"
"0X4959","site_active_dt","2012-01-01","Site"
"0X8517","studyid","AA-AA-000-0000","Site"
"0X8517","invid","0X8517","Site"
"0X8517","InvestigatorFirstName","Fred","Site"
"0X8517","InvestigatorLastName","Smith","Site"
"0X8517","site_status","Active","Site"
"0X8517","City","Milton Keynes","Site"
"0X8517","State","Buckinghamshire","Site"
"0X8517","Country","UK","Site"
"0X8517","site_active_dt","2012-01-01","Site"
"0X2532","studyid","AA-AA-000-0000","Site"
"0X2532","invid","0X2532","Site"
"0X2532","InvestigatorFirstName","Fred","Site"
"0X2532","InvestigatorLastName","Doe","Site"
"0X2532","site_status","Active","Site"
"0X2532","City","Foster City","Site"
"0X2532","State","CA","Site"
"0X2532","Country","US","Site"
"0X2532","site_active_dt","2012-01-01","Site"
"0X6603","studyid","AA-AA-000-0000","Site"
"0X6603","invid","0X6603","Site"
"0X6603","InvestigatorFirstName","Joanne","Site"
"0X6603","InvestigatorLastName","Smith","Site"
"0X6603","site_status","Active","Site"
"0X6603","City","Milton Keynes","Site"
"0X6603","State","Buckinghamshire","Site"
"0X6603","Country","UK","Site"
"0X6603","site_active_dt","2012-01-01","Site"
"0X7983","studyid","AA-AA-000-0000","Site"
"0X7983","invid","0X7983","Site"
"0X7983","InvestigatorFirstName","Joanne","Site"
"0X7983","InvestigatorLastName","Smith","Site"
"0X7983","site_status","Active","Site"
"0X7983","City","Foster City","Site"
"0X7983","State","CA","Site"
"0X7983","Country","US","Site"
"0X7983","site_active_dt","2012-01-01","Site"
"0X1910","studyid","AA-AA-000-0000","Site"
"0X1910","invid","0X1910","Site"
"0X1910","InvestigatorFirstName","Fred","Site"
"0X1910","InvestigatorLastName","Deer","Site"
"0X1910","site_status","Active","Site"
"0X1910","City","Newtown Square","Site"
"0X1910","State","PA","Site"
"0X1910","Country","US","Site"
"0X1910","site_active_dt","2012-01-01","Site"
"0X8091","studyid","AA-AA-000-0000","Site"
"0X8091","invid","0X8091","Site"
"0X8091","InvestigatorFirstName","Joanne","Site"
"0X8091","InvestigatorLastName","Smith","Site"
"0X8091","site_status","Active","Site"
"0X8091","City","Milton Keynes","Site"
"0X8091","State","Buckinghamshire","Site"
"0X8091","Country","UK","Site"
"0X8091","site_active_dt","2012-01-01","Site"
"0X3090","studyid","AA-AA-000-0000","Site"
"0X3090","invid","0X3090","Site"
"0X3090","InvestigatorFirstName","John","Site"
"0X3090","InvestigatorLastName","Smith","Site"
"0X3090","site_status","Active","Site"
"0X3090","City","Newtown Square","Site"
"0X3090","State","PA","Site"
"0X3090","Country","US","Site"
"0X3090","site_active_dt","2012-01-01","Site"
"0X2192","studyid","AA-AA-000-0000","Site"
"0X2192","invid","0X2192","Site"
"0X2192","InvestigatorFirstName","John","Site"
"0X2192","InvestigatorLastName","Deer","Site"
"0X2192","site_status","Active","Site"
"0X2192","City","Milton Keynes","Site"
"0X2192","State","Buckinghamshire","Site"
"0X2192","Country","UK","Site"
"0X2192","site_active_dt","2012-01-01","Site"
"0X101","studyid","AA-AA-000-0000","Site"
"0X101","invid","0X101","Site"
"0X101","InvestigatorFirstName","John","Site"
"0X101","InvestigatorLastName","Deer","Site"
"0X101","site_status","Active","Site"
"0X101","City","Milton Keynes","Site"
"0X101","State","Buckinghamshire","Site"
"0X101","Country","UK","Site"
"0X101","site_active_dt","2012-01-01","Site"
"0X213","studyid","AA-AA-000-0000","Site"
"0X213","invid","0X213","Site"
"0X213","InvestigatorFirstName","Fred","Site"
"0X213","InvestigatorLastName","Smith","Site"
"0X213","site_status","Active","Site"
"0X213","City","London","Site"
"0X213","State","Greater London","Site"
"0X213","Country","UK","Site"
"0X213","site_active_dt","2012-01-01","Site"
"0X4485","studyid","AA-AA-000-0000","Site"
"0X4485","invid","0X4485","Site"
"0X4485","InvestigatorFirstName","Fred","Site"
"0X4485","InvestigatorLastName","Doe","Site"
"0X4485","site_status","Active","Site"
"0X4485","City","Newtown Square","Site"
"0X4485","State","PA","Site"
"0X4485","Country","US","Site"
"0X4485","site_active_dt","2012-01-01","Site"
"0X8788","studyid","AA-AA-000-0000","Site"
"0X8788","invid","0X8788","Site"
"0X8788","InvestigatorFirstName","Fred","Site"
"0X8788","InvestigatorLastName","Deer","Site"
"0X8788","site_status","Active","Site"
"0X8788","City","Kumamoto","Site"
"0X8788","State","Kumamoto Prefecture","Site"
"0X8788","Country","Japan","Site"
"0X8788","site_active_dt","2012-01-01","Site"
"0X8351","studyid","AA-AA-000-0000","Site"
"0X8351","invid","0X8351","Site"
"0X8351","InvestigatorFirstName","John","Site"
"0X8351","InvestigatorLastName","Deer","Site"
"0X8351","site_status","Active","Site"
"0X8351","City","Milton Keynes","Site"
"0X8351","State","Buckinghamshire","Site"
"0X8351","Country","UK","Site"
"0X8351","site_active_dt","2012-01-01","Site"
"0X6405","studyid","AA-AA-000-0000","Site"
"0X6405","invid","0X6405","Site"
"0X6405","InvestigatorFirstName","John","Site"
"0X6405","InvestigatorLastName","Doe","Site"
"0X6405","site_status","Active","Site"
"0X6405","City","Foster City","Site"
"0X6405","State","CA","Site"
"0X6405","Country","US","Site"
"0X6405","site_active_dt","2012-01-01","Site"
"0X8633","studyid","AA-AA-000-0000","Site"
"0X8633","invid","0X8633","Site"
"0X8633","InvestigatorFirstName","Fred","Site"
"0X8633","InvestigatorLastName","Smith","Site"
"0X8633","site_status","Active","Site"
"0X8633","City","Tokyo","Site"
"0X8633","State","Kanto","Site"
"0X8633","Country","Japan","Site"
"0X8633","site_active_dt","2012-01-01","Site"
"0X7809","studyid","AA-AA-000-0000","Site"
"0X7809","invid","0X7809","Site"
"0X7809","InvestigatorFirstName","Joanne","Site"
"0X7809","InvestigatorLastName","Deer","Site"
"0X7809","site_status","Active","Site"
"0X7809","City","Kumamoto","Site"
"0X7809","State","Kumamoto Prefecture","Site"
"0X7809","Country","Japan","Site"
"0X7809","site_active_dt","2012-01-01","Site"
"0X180","studyid","AA-AA-000-0000","Site"
"0X180","invid","0X180","Site"
"0X180","InvestigatorFirstName","Fred","Site"
"0X180","InvestigatorLastName","Doe","Site"
"0X180","site_status","Active","Site"
"0X180","City","London","Site"
"0X180","State","Greater London","Site"
"0X180","Country","UK","Site"
"0X180","site_active_dt","2012-01-01","Site"
"0X4874","studyid","AA-AA-000-0000","Site"
"0X4874","invid","0X4874","Site"
"0X4874","InvestigatorFirstName","John","Site"
"0X4874","InvestigatorLastName","Doe","Site"
"0X4874","site_status","Active","Site"
"0X4874","City","Tokyo","Site"
"0X4874","State","Kanto","Site"
"0X4874","Country","Japan","Site"
"0X4874","site_active_dt","2012-01-01","Site"
"0X7011","studyid","AA-AA-000-0000","Site"
"0X7011","invid","0X7011","Site"
"0X7011","InvestigatorFirstName","John","Site"
"0X7011","InvestigatorLastName","Deer","Site"
"0X7011","site_status","Active","Site"
"0X7011","City","Foster City","Site"
"0X7011","State","CA","Site"
"0X7011","Country","US","Site"
"0X7011","site_active_dt","2012-01-01","Site"
"0X8354","studyid","AA-AA-000-0000","Site"
"0X8354","invid","0X8354","Site"
"0X8354","InvestigatorFirstName","Fred","Site"
"0X8354","InvestigatorLastName","Deer","Site"
"0X8354","site_status","Active","Site"
"0X8354","City","Kumamoto","Site"
"0X8354","State","Kumamoto Prefecture","Site"
"0X8354","Country","Japan","Site"
"0X8354","site_active_dt","2012-01-01","Site"
"0X4323","studyid","AA-AA-000-0000","Site"
"0X4323","invid","0X4323","Site"
"0X4323","InvestigatorFirstName","Joanne","Site"
"0X4323","InvestigatorLastName","Smith","Site"
"0X4323","site_status","Active","Site"
"0X4323","City","Foster City","Site"
"0X4323","State","CA","Site"
"0X4323","Country","US","Site"
"0X4323","site_active_dt","2012-01-01","Site"
"0X5033","studyid","AA-AA-000-0000","Site"
"0X5033","invid","0X5033","Site"
"0X5033","InvestigatorFirstName","John","Site"
"0X5033","InvestigatorLastName","Smith","Site"
"0X5033","site_status","Active","Site"
"0X5033","City","Foster City","Site"
"0X5033","State","CA","Site"
"0X5033","Country","US","Site"
"0X5033","site_active_dt","2012-01-01","Site"
"0X5384","studyid","AA-AA-000-0000","Site"
"0X5384","invid","0X5384","Site"
"0X5384","InvestigatorFirstName","Fred","Site"
"0X5384","InvestigatorLastName","Smith","Site"
"0X5384","site_status","Active","Site"
"0X5384","City","Milton Keynes","Site"
"0X5384","State","Buckinghamshire","Site"
"0X5384","Country","UK","Site"
"0X5384","site_active_dt","2012-01-01","Site"
"0X7680","studyid","AA-AA-000-0000","Site"
"0X7680","invid","0X7680","Site"
"0X7680","InvestigatorFirstName","Fred","Site"
"0X7680","InvestigatorLastName","Smith","Site"
"0X7680","site_status","Active","Site"
"0X7680","City","London","Site"
"0X7680","State","Greater London","Site"
"0X7680","Country","UK","Site"
"0X7680","site_active_dt","2012-02-01","Site"
"0X554","studyid","AA-AA-000-0000","Site"
"0X554","invid","0X554","Site"
"0X554","InvestigatorFirstName","Fred","Site"
"0X554","InvestigatorLastName","Deer","Site"
"0X554","site_status","Active","Site"
"0X554","City","Tokyo","Site"
"0X554","State","Kanto","Site"
"0X554","Country","Japan","Site"
"0X554","site_active_dt","2012-02-01","Site"
"0X4840","studyid","AA-AA-000-0000","Site"
"0X4840","invid","0X4840","Site"
"0X4840","InvestigatorFirstName","Fred","Site"
"0X4840","InvestigatorLastName","Doe","Site"
"0X4840","site_status","Active","Site"
"0X4840","City","London","Site"
"0X4840","State","Greater London","Site"
"0X4840","Country","UK","Site"
"0X4840","site_active_dt","2012-02-01","Site"
"0X4937","studyid","AA-AA-000-0000","Site"
"0X4937","invid","0X4937","Site"
"0X4937","InvestigatorFirstName","Joanne","Site"
"0X4937","InvestigatorLastName","Doe","Site"
"0X4937","site_status","Active","Site"
"0X4937","City","Newtown Square","Site"
"0X4937","State","PA","Site"
"0X4937","Country","US","Site"
"0X4937","site_active_dt","2012-02-01","Site"
"0X6227","studyid","AA-AA-000-0000","Site"
"0X6227","invid","0X6227","Site"
"0X6227","InvestigatorFirstName","Joanne","Site"
"0X6227","InvestigatorLastName","Doe","Site"
"0X6227","site_status","Active","Site"
"0X6227","City","Newtown Square","Site"
"0X6227","State","PA","Site"
"0X6227","Country","US","Site"
"0X6227","site_active_dt","2012-02-01","Site"
"0X6894","studyid","AA-AA-000-0000","Site"
"0X6894","invid","0X6894","Site"
"0X6894","InvestigatorFirstName","John","Site"
"0X6894","InvestigatorLastName","Doe","Site"
"0X6894","site_status","Active","Site"
"0X6894","City","Kumamoto","Site"
"0X6894","State","Kumamoto Prefecture","Site"
"0X6894","Country","Japan","Site"
"0X6894","site_active_dt","2012-02-01","Site"
"0X724","studyid","AA-AA-000-0000","Site"
"0X724","invid","0X724","Site"
"0X724","InvestigatorFirstName","John","Site"
"0X724","InvestigatorLastName","Deer","Site"
"0X724","site_status","Active","Site"
"0X724","City","Newtown Square","Site"
"0X724","State","PA","Site"
"0X724","Country","US","Site"
"0X724","site_active_dt","2012-02-01","Site"
"0X503","studyid","AA-AA-000-0000","Site"
"0X503","invid","0X503","Site"
"0X503","InvestigatorFirstName","Joanne","Site"
"0X503","InvestigatorLastName","Doe","Site"
"0X503","site_status","Active","Site"
"0X503","City","Kumamoto","Site"
"0X503","State","Kumamoto Prefecture","Site"
"0X503","Country","Japan","Site"
"0X503","site_active_dt","2012-02-01","Site"
"0X9432","studyid","AA-AA-000-0000","Site"
"0X9432","invid","0X9432","Site"
"0X9432","InvestigatorFirstName","John","Site"
"0X9432","InvestigatorLastName","Smith","Site"
"0X9432","site_status","Active","Site"
"0X9432","City","Milton Keynes","Site"
"0X9432","State","Buckinghamshire","Site"
"0X9432","Country","UK","Site"
"0X9432","site_active_dt","2012-02-01","Site"
"0X4353","studyid","AA-AA-000-0000","Site"
"0X4353","invid","0X4353","Site"
"0X4353","InvestigatorFirstName","Joanne","Site"
"0X4353","InvestigatorLastName","Deer","Site"
"0X4353","site_status","Active","Site"
"0X4353","City","Foster City","Site"
"0X4353","State","CA","Site"
"0X4353","Country","US","Site"
"0X4353","site_active_dt","2012-02-01","Site"
"0X4535","studyid","AA-AA-000-0000","Site"
"0X4535","invid","0X4535","Site"
"0X4535","InvestigatorFirstName","Joanne","Site"
"0X4535","InvestigatorLastName","Doe","Site"
"0X4535","site_status","Active","Site"
"0X4535","City","Newtown Square","Site"
"0X4535","State","PA","Site"
"0X4535","Country","US","Site"
"0X4535","site_active_dt","2012-02-01","Site"
"0X2070","studyid","AA-AA-000-0000","Site"
"0X2070","invid","0X2070","Site"
"0X2070","InvestigatorFirstName","Fred","Site"
"0X2070","InvestigatorLastName","Doe","Site"
"0X2070","site_status","Active","Site"
"0X2070","City","Foster City","Site"
"0X2070","State","CA","Site"
"0X2070","Country","US","Site"
"0X2070","site_active_dt","2012-02-01","Site"
"0X2410","studyid","AA-AA-000-0000","Site"
"0X2410","invid","0X2410","Site"
"0X2410","InvestigatorFirstName","John","Site"
"0X2410","InvestigatorLastName","Smith","Site"
"0X2410","site_status","Active","Site"
"0X2410","City","Tokyo","Site"
"0X2410","State","Kanto","Site"
"0X2410","Country","Japan","Site"
"0X2410","site_active_dt","2012-02-01","Site"
"0X4869","studyid","AA-AA-000-0000","Site"
"0X4869","invid","0X4869","Site"
"0X4869","InvestigatorFirstName","John","Site"
"0X4869","InvestigatorLastName","Doe","Site"
"0X4869","site_status","Active","Site"
"0X4869","City","Kumamoto","Site"
"0X4869","State","Kumamoto Prefecture","Site"
"0X4869","Country","Japan","Site"
"0X4869","site_active_dt","2012-02-01","Site"
"0X8303","studyid","AA-AA-000-0000","Site"
"0X8303","invid","0X8303","Site"
"0X8303","InvestigatorFirstName","Fred","Site"
"0X8303","InvestigatorLastName","Doe","Site"
"0X8303","site_status","Active","Site"
"0X8303","City","Kumamoto","Site"
"0X8303","State","Kumamoto Prefecture","Site"
"0X8303","Country","Japan","Site"
"0X8303","site_active_dt","2012-02-01","Site"
"0X4272","studyid","AA-AA-000-0000","Site"
"0X4272","invid","0X4272","Site"
"0X4272","InvestigatorFirstName","Fred","Site"
"0X4272","InvestigatorLastName","Deer","Site"
"0X4272","site_status","Active","Site"
"0X4272","City","Kumamoto","Site"
"0X4272","State","Kumamoto Prefecture","Site"
"0X4272","Country","Japan","Site"
"0X4272","site_active_dt","2012-02-01","Site"
"0X1268","studyid","AA-AA-000-0000","Site"
"0X1268","invid","0X1268","Site"
"0X1268","InvestigatorFirstName","Joanne","Site"
"0X1268","InvestigatorLastName","Smith","Site"
"0X1268","site_status","Active","Site"
"0X1268","City","London","Site"
"0X1268","State","Greater London","Site"
"0X1268","Country","UK","Site"
"0X1268","site_active_dt","2012-02-01","Site"
"0X240","studyid","AA-AA-000-0000","Site"
"0X240","invid","0X240","Site"
"0X240","InvestigatorFirstName","Fred","Site"
"0X240","InvestigatorLastName","Doe","Site"
"0X240","site_status","Active","Site"
"0X240","City","London","Site"
"0X240","State","Greater London","Site"
"0X240","Country","UK","Site"
"0X240","site_active_dt","2012-02-01","Site"
"0X4811","studyid","AA-AA-000-0000","Site"
"0X4811","invid","0X4811","Site"
"0X4811","InvestigatorFirstName","John","Site"
"0X4811","InvestigatorLastName","Doe","Site"
"0X4811","site_status","Active","Site"
"0X4811","City","Milton Keynes","Site"
"0X4811","State","Buckinghamshire","Site"
"0X4811","Country","UK","Site"
"0X4811","site_active_dt","2012-02-01","Site"
"0X6665","studyid","AA-AA-000-0000","Site"
"0X6665","invid","0X6665","Site"
"0X6665","InvestigatorFirstName","Joanne","Site"
"0X6665","InvestigatorLastName","Smith","Site"
"0X6665","site_status","Active","Site"
"0X6665","City","Milton Keynes","Site"
"0X6665","State","Buckinghamshire","Site"
"0X6665","Country","UK","Site"
"0X6665","site_active_dt","2012-02-01","Site"
"0X6502","studyid","AA-AA-000-0000","Site"
"0X6502","invid","0X6502","Site"
"0X6502","InvestigatorFirstName","Joanne","Site"
"0X6502","InvestigatorLastName","Deer","Site"
"0X6502","site_status","Active","Site"
"0X6502","City","Kumamoto","Site"
"0X6502","State","Kumamoto Prefecture","Site"
"0X6502","Country","Japan","Site"
"0X6502","site_active_dt","2012-02-01","Site"
"0X2674","studyid","AA-AA-000-0000","Site"
"0X2674","invid","0X2674","Site"
"0X2674","InvestigatorFirstName","John","Site"
"0X2674","InvestigatorLastName","Deer","Site"
"0X2674","site_status","Active","Site"
"0X2674","City","Newtown Square","Site"
"0X2674","State","PA","Site"
"0X2674","Country","US","Site"
"0X2674","site_active_dt","2012-02-01","Site"
"0X787","studyid","AA-AA-000-0000","Site"
"0X787","invid","0X787","Site"
"0X787","InvestigatorFirstName","John","Site"
"0X787","InvestigatorLastName","Deer","Site"
