"StudyID","SnapshotDate","GroupLevel","GroupID","MetricID","State","AssignedTo","RiskSignalID","RiskSignalURL","SignalDescription","RecommendedAction","ActionTaken","CTMSID","CreatedDate","ResolvedDate","ExtractionDate","RiskSignalDuplicateFlag","RelevantSnapshotDate","RelevantSnapshotFlag","RiskSignalAge","FunctionalArea","GroupLabel","MetricLabel","MetricAbbreviation","Country"
"AA-AA-000-0000",2025-02-01,"Site","0X2532","Analysis_kri0014","Open Action","Synthetic Monitor",900012,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900012","Synthetic risk signal for Analysis_kri0014 at 0X2532","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Doe","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X3090","Analysis_kri0011","Closed Action","Synthetic Monitor",900013,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900013","Synthetic risk signal for Analysis_kri0011 at 0X3090","Review the synthetic risk signal.","Synthetic action completed.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-04-01,FALSE,8,"Central Monitoring","Smith","Data Change Rate","CDAT","US"
"AA-AA-000-0000",2025-02-01,"Site","0X3909","Analysis_kri0014","Open Action","Synthetic Monitor",900014,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900014","Synthetic risk signal for Analysis_kri0014 at 0X3909","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Smith","Ineligibility","IE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X3989","Analysis_kri0014","Awaiting Triage",,900015,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900015","Synthetic risk signal for Analysis_kri0014 at 0X3989","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-03-01,FALSE,74,"Central Monitoring","Smith","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X4323","Analysis_kri0013","No Action",,900016,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900016","Synthetic risk signal for Analysis_kri0013 at 0X4323","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Smith","PK Collection Compliance Rate","PK","US"
"AA-AA-000-0000",2025-02-01,"Site","0X4323","Analysis_kri0014","Open Action","Synthetic Monitor",900017,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900017","Synthetic risk signal for Analysis_kri0014 at 0X4323","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Smith","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X4485","Analysis_kri0014","No Action",,900018,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900018","Synthetic risk signal for Analysis_kri0014 at 0X4485","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Doe","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X4590","Analysis_kri0013","Closed Action","Synthetic Monitor",900019,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900019","Synthetic risk signal for Analysis_kri0013 at 0X4590","Review the synthetic risk signal.","Synthetic action completed.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-03-01,FALSE,8,"Central Monitoring","Smith","PK Collection Compliance Rate","PK","US"
"AA-AA-000-0000",2025-02-01,"Site","0X4629","Analysis_kri0005","No Action",,900020,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900020","Synthetic risk signal for Analysis_kri0005 at 0X4629","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Doe","Grade 3+ Lab Abnormality Rate","LB","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X4959","Analysis_kri0014","No Action",,900021,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900021","Synthetic risk signal for Analysis_kri0014 at 0X4959","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Doe","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X4959","Analysis_kri0015","No Action",,900022,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900022","Synthetic risk signal for Analysis_kri0015 at 0X4959","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Doe","Premature Death Rate","DTH90","US"
"AA-AA-000-0000",2025-02-01,"Site","0X5895","Analysis_kri0014","Open Action","Synthetic Monitor",900023,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900023","Synthetic risk signal for Analysis_kri0014 at 0X5895","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Deer","Ineligibility","IE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X6405","Analysis_kri0014","Open Action","Synthetic Monitor",900024,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900024","Synthetic risk signal for Analysis_kri0014 at 0X6405","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Doe","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X6405","Analysis_kri0019","Closed Action","Synthetic Monitor",900025,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900025","Synthetic risk signal for Analysis_kri0019 at 0X6405","Review the synthetic risk signal.","Synthetic action completed.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-03-01,FALSE,8,"Central Monitoring","Doe","IP Non-Starter Rate","IPNS","US"
"AA-AA-000-0000",2025-02-01,"Site","0X6603","Analysis_kri0014","No Action",,900026,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900026","Synthetic risk signal for Analysis_kri0014 at 0X6603","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Smith","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X6900","Analysis_kri0014","Open Action","Synthetic Monitor",900027,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900027","Synthetic risk signal for Analysis_kri0014 at 0X6900","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Deer","Ineligibility","IE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X759","Analysis_kri0012","Awaiting Triage",,900028,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900028","Synthetic risk signal for Analysis_kri0012 at 0X759","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Smith","Screen Failure Rate","SF","US"
"AA-AA-000-0000",2025-02-01,"Site","0X7809","Analysis_kri0002","No Action",,900029,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900029","Synthetic risk signal for Analysis_kri0002 at 0X7809","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Deer","Serious Adverse Event Rate","SAE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X7809","Analysis_kri0014","No Action",,900030,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900030","Synthetic risk signal for Analysis_kri0014 at 0X7809","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Deer","Ineligibility","IE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X8091","Analysis_kri0014","Open Action","Synthetic Monitor",900031,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900031","Synthetic risk signal for Analysis_kri0014 at 0X8091","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Smith","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X8351","Analysis_kri0002","Awaiting Triage",,900032,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900032","Synthetic risk signal for Analysis_kri0002 at 0X8351","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-03-01,FALSE,74,"Central Monitoring","Deer","Serious Adverse Event Rate","SAE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X8354","Analysis_kri0001","No Action",,900033,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900033","Synthetic risk signal for Analysis_kri0001 at 0X8354","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Deer","Adverse Event Rate","AE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X8354","Analysis_kri0002","No Action",,900034,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900034","Synthetic risk signal for Analysis_kri0002 at 0X8354","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Deer","Serious Adverse Event Rate","SAE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X8354","Analysis_kri0012","Open Action","Synthetic Monitor",900035,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900035","Synthetic risk signal for Analysis_kri0012 at 0X8354","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Deer","Screen Failure Rate","SF","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X8625","Analysis_kri0014","Closed Action","Synthetic Monitor",900036,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900036","Synthetic risk signal for Analysis_kri0014 at 0X8625","Review the synthetic risk signal.","Synthetic action completed.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-04-01,FALSE,8,"Central Monitoring","Deer","Ineligibility","IE","US"
"AA-AA-000-0000",2025-02-01,"Site","0X8633","Analysis_kri0014","No Action",,900037,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900037","Synthetic risk signal for Analysis_kri0014 at 0X8633","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Smith","Ineligibility","IE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X8764","Analysis_kri0002","No Action",,900038,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900038","Synthetic risk signal for Analysis_kri0002 at 0X8764","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Smith","Serious Adverse Event Rate","SAE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X8764","Analysis_kri0014","No Action",,900039,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900039","Synthetic risk signal for Analysis_kri0014 at 0X8764","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Smith","Ineligibility","IE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X8799","Analysis_kri0014","Open Action","Synthetic Monitor",900040,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900040","Synthetic risk signal for Analysis_kri0014 at 0X8799","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-02-01,TRUE,74,"Central Monitoring","Doe","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X9142","Analysis_kri0014","Awaiting Triage",,900041,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900041","Synthetic risk signal for Analysis_kri0014 at 0X9142","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-04-01,FALSE,74,"Central Monitoring","Smith","Ineligibility","IE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X9346","Analysis_kri0001","Awaiting Triage",,900042,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900042","Synthetic risk signal for Analysis_kri0001 at 0X9346","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-03-01,FALSE,74,"Central Monitoring","Doe","Adverse Event Rate","AE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X9360","Analysis_kri0001","No Action",,900043,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900043","Synthetic risk signal for Analysis_kri0001 at 0X9360","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Smith","Adverse Event Rate","AE","Japan"
"AA-AA-000-0000",2025-02-01,"Site","0X958","Analysis_kri0014","No Action",,900044,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900044","Synthetic risk signal for Analysis_kri0014 at 0X958","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Deer","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X9580","Analysis_kri0002","Awaiting Triage",,900045,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900045","Synthetic risk signal for Analysis_kri0002 at 0X9580","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-03-01,FALSE,74,"Central Monitoring","Deer","Serious Adverse Event Rate","SAE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X9580","Analysis_kri0014","Awaiting Triage",,900046,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900046","Synthetic risk signal for Analysis_kri0014 at 0X9580","Review the synthetic risk signal.",,,2025-02-02,,2025-04-15,FALSE,2025-03-01,FALSE,74,"Central Monitoring","Deer","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-02-01,"Site","0X9858","Analysis_kri0014","No Action",,900047,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900047","Synthetic risk signal for Analysis_kri0014 at 0X9858","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-02-02,2025-02-08,2025-04-15,FALSE,2025-02-01,TRUE,8,"Central Monitoring","Doe","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-03-01,"Site","0X101","Analysis_kri0002","No Action",,900048,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900048","Synthetic risk signal for Analysis_kri0002 at 0X101","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-03-01,TRUE,8,"Central Monitoring","Deer","Serious Adverse Event Rate","SAE","UK"
"AA-AA-000-0000",2025-03-01,"Site","0X1043","Analysis_kri0014","Closed Action","Synthetic Monitor",900049,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900049","Synthetic risk signal for Analysis_kri0014 at 0X1043","Review the synthetic risk signal.","Synthetic action completed.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-04-01,FALSE,8,"Central Monitoring","Doe","Ineligibility","IE","US"
"AA-AA-000-0000",2025-03-01,"Site","0X1257","Analysis_kri0001","No Action",,900050,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900050","Synthetic risk signal for Analysis_kri0001 at 0X1257","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-02-01,FALSE,8,"Central Monitoring","Doe","Adverse Event Rate","AE","Japan"
"AA-AA-000-0000",2025-03-01,"Site","0X1476","Analysis_kri0014","Awaiting Triage",,900051,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900051","Synthetic risk signal for Analysis_kri0014 at 0X1476","Review the synthetic risk signal.",,,2025-03-02,,2025-04-15,FALSE,2025-03-01,TRUE,46,"Central Monitoring","Smith","Ineligibility","IE","US"
"AA-AA-000-0000",2025-03-01,"Site","0X1750","Analysis_kri0014","No Action",,900052,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900052","Synthetic risk signal for Analysis_kri0014 at 0X1750","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-02-01,FALSE,8,"Central Monitoring","Smith","Ineligibility","IE","US"
"AA-AA-000-0000",2025-03-01,"Site","0X1910","Analysis_kri0014","Closed Action","Synthetic Monitor",900053,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900053","Synthetic risk signal for Analysis_kri0014 at 0X1910","Review the synthetic risk signal.","Synthetic action completed.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-04-01,FALSE,8,"Central Monitoring","Deer","Ineligibility","IE","US"
"AA-AA-000-0000",2025-03-01,"Site","0X1982","Analysis_kri0014","Open Action","Synthetic Monitor",900054,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900054","Synthetic risk signal for Analysis_kri0014 at 0X1982","Review the synthetic risk signal.",,,2025-03-02,,2025-04-15,FALSE,2025-03-01,TRUE,46,"Central Monitoring","Smith","Ineligibility","IE","US"
"AA-AA-000-0000",2025-03-01,"Site","0X213","Analysis_kri0014","Closed Action","Synthetic Monitor",900055,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900055","Synthetic risk signal for Analysis_kri0014 at 0X213","Review the synthetic risk signal.","Synthetic action completed.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-04-01,FALSE,8,"Central Monitoring","Smith","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-03-01,"Site","0X2170","Analysis_kri0012","Closed Action","Synthetic Monitor",900056,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900056","Synthetic risk signal for Analysis_kri0012 at 0X2170","Review the synthetic risk signal.","Synthetic action completed.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-03-01,TRUE,8,"Central Monitoring","Deer","Screen Failure Rate","SF","Japan"
"AA-AA-000-0000",2025-03-01,"Site","0X2192","Analysis_kri0014","Closed Action","Synthetic Monitor",900057,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900057","Synthetic risk signal for Analysis_kri0014 at 0X2192","Review the synthetic risk signal.","Synthetic action completed.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-02-01,FALSE,8,"Central Monitoring","Deer","Ineligibility","IE","UK"
"AA-AA-000-0000",2025-03-01,"Site","0X2323","Analysis_kri0002","Open Action","Synthetic Monitor",900058,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900058","Synthetic risk signal for Analysis_kri0002 at 0X2323","Review the synthetic risk signal.",,,2025-03-02,,2025-04-15,FALSE,2025-03-01,TRUE,46,"Central Monitoring","Smith","Serious Adverse Event Rate","SAE","Japan"
"AA-AA-000-0000",2025-03-01,"Site","0X2323","Analysis_kri0005","No Action",,900059,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900059","Synthetic risk signal for Analysis_kri0005 at 0X2323","Review the synthetic risk signal.","Synthetic triage found no action required.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-03-01,TRUE,8,"Central Monitoring","Smith","Grade 3+ Lab Abnormality Rate","LB","Japan"
"AA-AA-000-0000",2025-03-01,"Site","0X2323","Analysis_kri0014","Awaiting Triage",,900060,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900060","Synthetic risk signal for Analysis_kri0014 at 0X2323","Review the synthetic risk signal.",,,2025-03-02,,2025-04-15,FALSE,2025-04-01,FALSE,46,"Central Monitoring","Smith","Ineligibility","IE","Japan"
"AA-AA-000-0000",2025-03-01,"Site","0X2323","Analysis_kri0019","Awaiting Triage",,900061,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900061","Synthetic risk signal for Analysis_kri0019 at 0X2323","Review the synthetic risk signal.",,,2025-03-02,,2025-04-15,FALSE,2025-03-01,TRUE,46,"Central Monitoring","Smith","IP Non-Starter Rate","IPNS","Japan"
"AA-AA-000-0000",2025-03-01,"Site","0X2413","Analysis_kri0014","Closed Action","Synthetic Monitor",900062,"https://dev.azure.com/Gilead-RND-CDS-RBQM/AA-AA-000-0000/_workitems/edit/900062","Synthetic risk signal for Analysis_kri0014 at 0X2413","Review the synthetic risk signal.","Synthetic action completed.",,2025-03-02,2025-03-08,2025-04-15,FALSE,2025-03-01,TRUE,8,"Central Monitoring","Smith","Ineligibility","IE","Japan"
